marketid	upstreamid	downstreamid	cites_cites	kn_similarity	_sq*(kn_similarity)	cites_size	cites_experience	cites_rankcmd	domain_similarity	match
22	2	10	0	0.57556164	0.3312712	0	0	0	0.21134235	0
22	2	11	0	0.14945026	0.02233538	0	0	0	0.5644908	0
22	2	12	0	0.056834791	0.0032301934	0	0	0	0.2729696	0
22	2	13	0	0.17699046	0.031325623	0	0	0	0.34566307	0
22	2	14	0	0.037826385	0.0014308355	0	0	0	0.32405201	0
22	2	15	0	0.1788515	0.031987861	0	0	0	0.70161885	0
22	2	16	0	0.11300194	0.012769437	0	0	0	0.33539048	0
22	2	17	0	0.13384962	0.01791572	0	0	0	0.33907786	0
22	2	18	0	0.080127701	0.0064204484	0	0	0	0.3139706	0
22	2	19	0	0.33744127	0.1138666	0	0	0	0.35849062	0
22	2	20	0	0.25513488	0.065093808	0	0	0	0	0
22	2	21	0	0.10275023	0.010557611	0	0	0	0	0
22	3	1	0.35692272	0.4066667	0.1653778	0	0.08753939	0	0.17010069	0
22	3	2	0	0	0	0	0	0	0	0
22	3	3	0.72973388	0.38024309	0.1445848	0	0.52523637	0	0.77167332	0
22	3	4	0.26339227	0.46815923	0.21917306	0	0.021884847	0	0	0
22	3	5	0.22316076	0.098457217	0.0096938238	0.8149718	0.21884847	0.62736565	0.1859709	0
22	3	6	0.4081035	0.13586333	0.018458845	0	0.065654546	0	0.75121391	0
22	3	7	0.3961812	0.2008673	0.040347669	0.66542172	0.021884847	0.12547313	0.20345375	0
22	3	8	0.80727595	0.36382797	0.1323708	0.8149718	0.43769693	0.37641937	0.72510952	0
22	3	9	0.6376937	0.72124803	0.5201987	0	0.24073331	0	0.35644946	0
22	3	10	0.77790302	0.31790853	0.10106583	0	0.6346606	0	0.61036128	0
22	3	11	0.63507634	0.36190116	0.13097246	0.47052419	0	0.1882097	0.44289067	0
22	3	12	0.59802437	0.2725141	0.074263938	0.47052419	0.021884847	0.75283873	0.33458099	0
22	3	13	0.35692272	0.46932283	0.22026391	0	0.065654546	0	0.29478621	0
22	3	14	0.53795242	0.12062904	0.014551366	0	0.15319394	0	0.75084591	0
22	3	15	0.57595742	0.5554865	0.30856526	0	0.37204242	0	0.74963164	0
22	3	16	0.94104838	0.27235878	0.074179299	0.94104838	0.37204242	0.37641937	0.38697058	0
22	3	17	0.73569298	0.33094579	0.10952511	0.8149718	0.45958176	0.34505108	0.45343795	0
22	3	18	0.64685196	0.3104018	0.096349277	0	0.94104838	0	0.74447227	0
22	3	19	0.74307096	0.18544851	0.03439115	0.66542172	0.10942423	0.25094625	0.3206467	0
22	3	20	0	0.56199616	0.31583968	0	0.043769695	0	0	0
22	3	21	0.72834152	0.47831637	0.22878654	0.8149718	0.21884847	0.12547313	1	1
22	4	1	0.17959934	0.10833567	0.011736618	0	0.033036601	0	0.077355966	0
22	4	2	0	0	0	0	0	0	0	0
22	4	3	0.36719355	0.18794106	0.035321843	0	0.23125619	0	0.19273248	0
22	4	4	0.13253592	0.34354949	0.11802625	0	0	0	0	0
22	4	5	0.11229189	0.076245032	0.0058133048	0.41008431	0.110122	0.31568307	0.32884148	0
22	4	6	0.2053529	0.074504331	0.0055508954	0	0.022024399	0	0.19622001	0
22	4	7	0.19935375	0.072571501	0.0052666226	0.33483243	0.011012199	0.063136615	0.065406665	0
22	4	8	0.40621182	0.21567273	0.046514727	0.41008431	0.22024399	0.18940984	0.43973103	0
22	4	9	0.32088003	0.37011975	0.13698862	0	0.110122	0	0.19014351	0
22	4	10	0.39143172	0.17066246	0.029125676	0	0.31935379	0	0.19622001	0
22	4	11	0.319563	0.17866305	0.031920485	0.23676229	0	0.094704926	0.43097848	0
22	4	12	0.30091888	0.075091705	0.0056387642	0.23676229	0.011012199	0.37881967	0.16172151	0
22	4	13	0.17959934	0.20398252	0.041608866	0	0.033036601	0	0.098276727	0
22	4	14	0.27069137	0.057616074	0.003319612	0	0.066073202	0	0.1788796	0
22	4	15	0.28981504	0.41293967	0.17051917	0	0.1872074	0	0.42518058	0
22	4	16	0.47352457	0.12714602	0.016166111	0.47352457	0.1872074	0.18940984	0.39157081	0
22	4	17	0.37019211	0.16223444	0.026320014	0.41008431	0.23125619	0.17362568	0.29091224	1
22	4	18	0.32548836	0.16577035	0.027479809	0	0.36340258	0	0.32635373	0
22	4	19	0.37390465	0.14050896	0.019742768	0.33483243	0.055060998	0.12627323	0.093036331	0
22	4	20	0	0.29280144	0.085732684	0	0	0	0	0
22	4	21	0.36649293	0.12492673	0.015606688	0.41008431	0.110122	0.063136615	0	0
22	5	1	0.23031089	0.19020672	0.036178596	0	0.042364787	0	0.24382621	0
22	5	2	0	0	0	0	0	0	0	0
22	5	3	0.47087407	0.3743445	0.1401338	0	0.29655349	0	0.72971833	0
22	5	4	0.16995865	0.59520584	0.35426998	0	0	0	0	0
22	5	5	0.14399855	0.11185487	0.012511513	0.52587539	0.14121597	0.4048191	0.19957264	0
22	5	6	0.26333621	0.16117293	0.025976712	0	0.028243192	0	0.74023139	0
22	5	7	0.25564313	0.12251469	0.01500985	0.42937547	0.014121596	0.08096382	0.20047933	0
22	5	8	0.52090949	0.33382836	0.11144137	0.52587539	0.28243193	0.24289145	0.65061313	0
22	5	9	0.41148344	0.73137242	0.53490561	0	0.14121597	0	0.40747833	1
22	5	10	0.50195611	0.23894003	0.057092339	0	0.40952629	0	0.60143799	0
22	5	11	0.40979457	0.30334777	0.092019871	0.30361432	0	0.12144573	0.4685722	0
22	5	12	0.3858861	0.15465997	0.023919707	0.30361432	0.014121596	0.48578289	0.29328805	0
22	5	13	0.23031089	0.45797023	0.20973673	0	0.042364787	0	0.19437698	0
22	5	14	0.34712359	0.10274963	0.010557487	0	0.084729575	0	0.67997718	0
22	5	15	0.371647	0.73148406	0.53506893	0	0.24006712	0	0.73507667	0
22	5	16	0.60722864	0.22525641	0.050740451	0.60722864	0.24006712	0.24289145	0.79581606	0
22	5	17	0.47471929	0.27045736	0.073147185	0.52587539	0.29655349	0.2226505	0.38360655	0
22	5	18	0.417393	0.32272506	0.10415146	0	0.46601266	0	0.5465641	0
22	5	19	0.47948006	0.21359314	0.045622028	0.42937547	0.070607983	0.16192764	0.21514529	0
22	5	20	0	0.5299558	0.28085315	0	0	0	0	0
22	5	21	0.46997562	0.259956	0.067577124	0.52587539	0.14121597	0.08096382	0.043333337	0
22	6	1	0.20170812	0.082588822	0.0068209134	0	0.037103422	0	0.17497413	0
22	6	2	0	0	0	0	0	0	0	0
22	6	3	0.4123953	0.27605325	0.076205395	0	0.25972396	0	0.74972862	0
22	6	4	0.14885116	0.2783725	0.077491246	0	0	0	0	0
22	6	5	0.12611508	0.098463684	0.0096950969	0.46056592	0.12367807	0.35454381	0.19727197	0
22	6	6	0.23063196	0.1019209	0.010387869	0	0.024735615	0	0.68912882	0
22	6	7	0.22389431	0.10804837	0.011674451	0.3760505	0.012367807	0.070908763	0.18663906	0
22	6	8	0.45621672	0.65575957	0.43002063	0.46056592	0.24735615	0.21272629	0.90940237	1
22	6	9	0.36038053	0.33403692	0.11158066	0	0.12367807	0	0.46794555	0
22	6	10	0.43961719	0.10724815	0.011502165	0	0.35866642	0	0.55991715	0
22	6	11	0.35890138	0.27599728	0.076174498	0.26590785	0	0.10636315	0.41603047	0
22	6	12	0.33796215	0.093823291	0.0088028098	0.26590785	0.012367807	0.42545259	0.3709687	0
22	6	13	0.20170812	0.21007992	0.044133574	0	0.037103422	0	0.40908143	0
22	6	14	0.30401364	0.082880899	0.0068692435	0	0.074206844	0	0.77046949	0
22	6	15	0.32549143	0.23624259	0.055810563	0	0.21025273	0	0.65058875	0
22	6	16	0.53181571	0.1890862	0.035753589	0.53181571	0.21025273	0.21272629	0.75922781	0
22	6	17	0.41576296	0.42693108	0.18227015	0.46056592	0.25972396	0.1949991	0.67310727	0
22	6	18	0.36555615	0.083548948	0.0069804266	0	0.40813765	0	0.57300264	0
22	6	19	0.41993251	0.14386229	0.020696359	0.3760505	0.061839037	0.14181753	0.43642265	0
22	6	20	0	0.42362499	0.17945814	0	0	0	0	0
22	6	21	0.41160843	0.25366816	0.064347535	0.46056592	0.12367807	0.070908763	0	0
22	7	1	0.082703188	0.11924741	0.014219944	0	0.015212929	0	0.16805351	0
22	7	2	0	0	0	0	0	0	0	0
22	7	3	0.16908792	0.36233947	0.13128988	0	0.1064905	0	0.75323653	0
22	7	4	0.061031085	0.32897878	0.10822704	0	0	0	0	0
