marketid	upstreamid	downstreamid	cites_cites	cites_size	kn_similarity	kn_similarity_sq	domain_similarity	cites_rankcmd	cites_experience	match	removeup	removedown
14	11	24	.24276225	0	.0093969312	.000088302317	.43599853	0	.074920915	0	0	0
14	11	25	.30584112	.27395219	.17440364	.030416628	.68138909	.094899818	.0624341	0	0	0
14	11	26	.32560617	.38742694	.020628547	.00042553697	.50493914	.12653309	.27471003	0	0	0
14	12	1	.18851921	0	.010807636	.000116805	.14643484	0	.23684211	0	1	0
14	12	2	.11242017	0	0	0	.74436587	0	.02631579	0	1	0
14	12	3	.82595509	0	.2717151	.0738291	.52773464	0	.52631581	0	1	1
14	12	4	.719118	.81649661	.17428552	.030375442	.42187995	.40000001	.55263156	0	1	0
14	12	5	.43396693	.57735026	.49290195	.24295233	.69679719	0	.02631579	0	1	0
14	12	6	.54550922	.57735026	.037072968	.001374405	.32179898	.80000001	0	0	1	0
14	12	7	.79385346	.81649661	.39506963	.15608001	.77755344	.26666665	.34210527	0	1	0
14	12	8	.40259778	0	.27169812	.073819868	.65672612	0	.31578946	0	1	0
14	12	9	.45908371	0	.38348323	.1470594	.71123803	0	.23684211	0	1	0
14	12	10	1	1	.80529678	.64850289	.95882404	.33333334	.2631579	1	1	1
14	12	11	.86446035	.57735026	.24127562	.058213927	.67938918	0	.44736841	0	1	1
14	12	12	.40301877	0	.046902072	.0021998044	.19061705	0	.47368422	0	1	0
14	12	13	.26406661	0	0	0	.65047538	0	.21052632	0	1	0
14	12	14	.13978966	0	0	0	.67585301	0	.18421052	0	1	0
14	12	15	.83970308	.81649661	.095449127	.0091105355	.70999753	.26666668	.21052632	0	1	1
14	12	16	.81877333	.57735026	.10963757	.012020398	.74761832	0	.57894737	0	1	1
14	12	17	.86503732	.57735026	.40762854	.16616103	.84521353	.20000002	.13157895	1	1	1
14	12	18	.41651866	0	.40346625	.16278502	.72114372	0	.2631579	0	1	0
14	12	19	0	0	.00075194612	5.6542297e-07	.14119782	0	.02631579	0	1	0
14	12	20	.6278879	.81649661	.1204787	.014515117	.35332048	.39999998	.02631579	0	1	0
14	12	21	.58881086	0	.2909947	.08467792	.71683913	0	1	0	1	0
14	12	22	.73378336	.57735026	.15530944	.024121022	.36761379	0	0	0	1	0
14	12	23	.29864076	0	.07898403	.0062384768	.19061705	0	.31578946	0	1	0
14	12	24	.5116179	0	.07285247	.0053074826	.3624146	0	.15789473	0	1	0
14	12	25	.64455569	.57735026	.16257206	.026429674	.35623679	.19999999	.13157895	0	1	0
14	12	26	.68621027	.81649661	.013127007	.00017231831	.19516894	.26666665	.57894737	0	1	0
14	13	1	.081874728	0	.12797508	.01637762	.3371917	0	.10286158	0	0	0
14	13	2	.048824579	0	.20772119	.043148093	.62076592	0	.011429064	1	0	0
14	13	3	.35871595	0	.013963727	.00019498568	.37507319	0	.22858129	0	0	1
14	13	4	.31231612	.35460809	.016468665	.00027121691	.27662069	.17372178	.24001034	0	0	0
14	13	5	.18847376	.25074577	0	0	.37034476	0	.011429064	0	0	0
14	13	6	.23691708	.25074577	.031595364	.00099826709	.21729127	.34744355	0	0	0	0
14	13	7	.34477407	.35460809	.016308149	.00026595572	.44644514	.11581451	.14857784	0	0	0
14	13	8	.17485	0	.017060401	.00029105728	.33186746	0	.13714877	0	0	0
14	13	9	.19938208	0	.0069951592	.000048932252	.49558666	0	.10286158	0	0	0
14	13	10	.43430445	.43430445	.0013523449	1.8288366e-06	.41163698	.14476815	.11429065	0	0	1
14	13	11	.37543896	.25074577	.20391434	.041581061	.43902242	0	.19429408	0	0	1
14	13	12	.17503284	0	.12198377	.014880041	.073363245	0	.20572315	0	0	0
14	13	13	.11468529	0	.24080095	.057985097	.23231694	0	.091432512	0	0	0
14	13	14	.060711265	0	.20772119	.043148093	.70231646	0	.080003448	0	0	0
14	13	15	.36468676	.35460809	.0062009571	.000038451868	.44533956	.11581452	.091432512	0	0	1
14	13	16	.3555969	.25074577	.13133788	.017249638	.41730493	0	.25143939	0	0	1
14	13	17	.37568954	.25074577	.015757916	.00024831193	.33638278	.086860895	.057145324	0	0	1
14	13	18	.18089591	0	0	0	.50827551	0	.11429065	0	0	0
14	13	19	0	0	.0038000534	.000014440406	.073363245	0	.011429064	0	0	0
14	13	20	.2726945	.35460809	.0058138436	.000033800778	.3026607	.17372176	.011429064	0	0	0
14	13	21	.25572315	0	.0018111181	3.2801488e-06	.49741015	0	.43430445	0	0	0
14	13	22	.31868535	.25074577	.0026895818	7.2338503e-06	.34885272	0	0	0	0	0
14	13	23	.129701	0	0	0	.073363245	0	.13714877	0	0	0
14	13	24	.22219792	0	0	0	.3827917	0	.068574384	0	0	0
14	13	25	.27993339	.25074577	.00094498415	8.9299505e-07	.42870331	.08686088	.057145324	0	0	0
14	13	26	.29802415	.35460809	.003232209	.000010447175	.09486255	.11581451	.25143939	0	0	0
14	14	1	.12903282	0	0	0	.71106809	0	.16210763	0	0	0
14	14	2	.076946482	0	.0023166779	5.3669969e-06	0	0	.018011959	0	0	0
14	14	3	.5653286	0	.0034803764	.000012113021	.77336884	0	.36023918	0	0	1
14	14	4	.4922035	.5588547	.009613934	.000092427726	.41518271	.27378178	.37825111	0	0	0
14	14	5	.2970306	.39516994	.0054763583	.0000299905	0	0	.018011959	0	0	0
14	14	6	.37337622	.39516994	4.9590599e-06	2.4592274e-11	.092636943	.54756355	0	0	0	0
14	14	7	.54335648	.5588547	.014273774	.00020374062	.13292108	.18252116	.23415548	0	0	0
14	14	8	.27555984	0	.0032593943	.000010623651	.72056532	0	.2161435	0	0	0
14	14	9	.31422189	0	.000078015779	6.0864616e-09	.35734743	0	.16210763	0	0	0
14	14	10	.68445444	.68445444	.001867906	3.4890727e-06	.057914421	.22815149	.18011959	0	0	1
14	14	11	.59168375	.39516994	.0069361613	.000048110334	.28702071	0	.30620331	0	0	1
14	14	12	.27584797	0	.00020307899	4.1241076e-08	.79998738	0	.32421526	0	0	0
14	14	13	.18074155	0	.00020339072	4.1367787e-08	.66665614	0	.14409567	0	0	0
14	14	14	.095679648	0	.0023166779	5.3669969e-06	.0025820909	0	.12608372	0	0	0
14	14	15	.5747385	.5588547	.0017042079	2.9043244e-06	.240436	.18252119	.14409567	0	0	1
14	14	16	.56041306	.39516994	.002892423	8.3661107e-06	.35267463	0	.39626309	0	0	1
14	14	17	.59207863	.39516994	.0050005047	.000025005047	.73704886	.1368909	.090059794	0	0	1
14	14	18	.28508806	0	.0023829346	5.6783770e-06	.37738001	0	.18011959	0	0	0
14	14	19	0	0	0	0	0	0	.018011959	0	0	0
14	14	20	.42976066	.5588547	.00011534915	1.3305425e-08	.18134673	.27378175	.018011959	0	0	0
14	14	21	.40301418	0	.00030869522	9.5292741e-08	.17511243	0	.68445444	0	0	0
14	14	22	.50224125	.39516994	.00078937178	6.2310784e-07	.32810032	0	0	0	0	0
14	14	23	.20440599	0	.0015818456	2.5022355e-06	.79998738	0	.2161435	0	0	0
14	14	24	.35017914	0	.00039208413	1.5372996e-07	.41108963	0	.10807175	0	0	0
14	14	25	.44116899	.39516994	.0025388806	6.4459146e-06	.37847719	.13689087	.090059794	0	0	0
14	14	26	.46967965	.5588547	.76918495	.59164548	.99795347	.18252116	.39626309	1	0	0
14	15	1	.13045388	0	0	0	.75395548	0	.16389297	0	0	0
14	15	2	.077793911	0	.012921696	.00016697022	.066640876	0	.018210329	0	0	0
14	15	3	.57155472	0	.039805025	.00158444	.36351895	0	.36420658	0	0	1
14	15	4	.49762425	.56500953	.020387895	.00041566629	.26166564	.276797	.3824169	0	0	0
14	15	5	.30030185	.39952204	.035500798	.0012603067	.060506329	0	.018210329	0	0	0
14	15	6	.37748832	.39952204	.00033732736	1.1378975e-07	.079901561	.55359399	0	0	0	0
14	15	7	.54934061	.56500953	.028889179	.0008345847	.16079582	.18453132	.23673429	0	0	0
14	15	8	.27859464	0	.032015413	.0010249866	.24830782	0	.21852393	0	0	0
14	15	9	.31768247	0	.023224467	.00053937588	.41929021	0	.16389297	0	0	0
14	15	10	.69199252	.69199252	.044605508	.0019896515	.093497708	.23066418	.18210329	0	0	1
14	15	11	.59820008	.39952204	.080716521	.0065151565	.31307676	0	.30957559	0	0	1
14	15	12	.27888596	0	.0040809792	.00001665439	.28706837	0	.32778594	0	0	0
14	15	13	.18273211	0	.001134449	1.2869746e-06	.22042751	0	.14568263	0	0	0
14	15	14	.096733391	0	.012921696	.00016697022	.70265079	0	.1274723	0	0	0
14	15	15	.58106822	.56500953	.025376756	.00064397976	.27323553	.18453135	.14568263	0	0	1
14	15	16	.566585	.39952204	.070955642	.0050347033	.23702648	0	.40062723	0	0	1
14	15	17	.59859931	.39952204	.027478665	.00075507705	.25548217	.13839851	.091051646	0	0	1
14	15	18	.2882278	0	.16533011	.027334046	.82869506	0	.18210329	1	0	0
14	15	19	0	0	0	0	.010252443	0	.018210329	0	0	0
14	15	20	.43449372	.56500953	.02086034	.00043515381	.11696512	.27679697	.018210329	0	0	0
14	15	21	.40745267	0	.013701902	.00018774212	.13396133	0	.69199252	0	0	0
14	15	22	.50777256	.39952204	.091980904	.0084604863	.21940035	0	0	0	0	0
14	15	23	.20665717	0	.0051303832	.000026320831	.28706837	0	.21852393	0	0	0
14	15	24	.35403574	0	.01797015	.00032292629	.2058738	0	.10926197	0	0	0
14	15	25	.44602767	.39952204	.04086772	.0016701706	.5160324	.13839848	.091051646	0	0	0
14	15	26	.47485235	.56500953	.0059315809	.000035183653	.31407297	.18453132	.40062723	0	0	0
14	16	1	1.1180159e-17	0	0	0	0	0	1.4045955e-17	0	0	0
14	16	2	6.6670939e-18	0	0	0	0	0	1.5606616e-18	0	0	0
14	16	3	4.8983383e-17	0	.061030228	.0037246887	.12551491	0	3.1213234e-17	0	0	1
14	16	4	4.2647394e-17	4.8422448e-17	.097888194	.0095820986	.072292432	2.3722058e-17	3.2773892e-17	0	0	0
14	16	5	2.5736471e-17	3.4239838e-17	.1842024	.033930525	.2298097	0	1.5606616e-18	0	0	0
14	16	6	3.2351504e-17	3.4239838e-17	.003189299	.000010171629	.030865021	4.7444115e-17	0	0	0	0
14	16	7	4.7079590e-17	4.8422448e-17	.12622558	.015932895	.048361767	1.5814704e-17	2.0288601e-17	0	0	0
14	16	8	2.3876118e-17	0	.16310465	.026603129	.40032038	0	1.8727938e-17	1	0	0
14	16	9	2.7226025e-17	0	.30104375	.090627335	.11867322	0	1.4045955e-17	0	0	0
14	16	10	5.9305144e-17	5.9305144e-17	.50379282	.25380722	.067380272	1.9768381e-17	1.5606617e-17	0	0	1
