"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"storedmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"
4	9	3	3.220321692634002	0	0	""	5.894145966992276	0	""	0	1
4	9	4	3.089862151079055	0	0	""	""	""	""	0	0
4	9	5	1.9634894769147961	0	0	""	5.692562737275203	0	""	0	1
4	9	6	4.106060552425515	0	0	""	6.677924003764453	0	""	0	1
4	9	7	0	0	0	""	""	""	""	0	0
4	9	8	1.2927753732227587	0	0	""	""	""	""	0	0
4	9	9	3.132187703894944	0	0	""	6.237756056293172	0	""	0	1
4	9	10	1.8833208149067249	0	0	""	""	""	""	0	0
4	9	11	3.8652861281315953	1	1	""	""	""	""	0	0
4	9	12	3.9872445960416334	0	0	""	5.74099168758741	0	""	0	1
5	1	1	1.8884955320816004	0	0	""	""	""	""	0	0
5	1	2	2.532196273244937	0	0	""	""	""	""	0	0
5	1	3	2.6492264775421464	0	0	""	""	""	""	0	0
5	1	4	2.045890146286324	1	1	""	""	""	""	0	0
5	1	5	0.2090961937607094	0	0	""	""	""	""	0	0
5	1	6	0.521618889317839	0	0	""	""	""	""	0	0
5	1	7	1.356326350445942	0	0	""	3.14183137003878	0	""	0	1
5	1	8	3.2143482097527905	0	0	""	3.7917242066764985	0	""	0	1
5	1	9	4.3338429678867305	0	0	""	""	""	""	0	0
5	1	10	4.538655295925658	1	1	""	""	""	""	0	0
5	2	1	5.825540154328596	0	0	4.0626435775524214	""	""	1.7628965767761748	1	0
5	2	2	2.4517595387851885	0	0	4.0626435775524214	""	""	0	1	0
5	2	3	3.850925401912584	0	0	4.0626435775524214	""	""	0	1	0
5	2	4	0.15356213497777657	0	0	4.0626435775524214	""	""	0	1	0
5	2	5	1.793137618137801	0	0	4.0626435775524214	""	""	0	1	0
5	2	6	1.2119938279971394	0	0	4.0626435775524214	""	""	0	1	0
5	2	7	4.0626435775524214	1	1	4.0626435775524214	3.14183137003878	0.9208122075136416	0.	1	1
